stop_id,stop_name,route_id,sequence,latitude,longitude
S-000037,Stop 00037,R-0003,2,23.090819,72.721233
S-000038,Stop 00038,R-0003,3,23.076439,72.720971
S-000039,Stop 00039,R-0003,4,23.076716,72.721387
S-000040,Stop 00040,R-0003,5,23.064548,72.717717
S-000041,Stop 00041,R-0003,6,23.060787,72.720967
S-000042,Stop 00042,R-0003,7,23.053047,72.723148
S-000043,Stop 00043,R-0003,8,23.046761,72.723387
S-000044,Stop 00044,R-0003,9,23.033129,72.729557
S-000045,Stop 00045,R-0003,10,23.029074,72.731823
S-000046,Stop 00046,R-0003,11,23.021137,72.732627
S-000047,Stop 00047,R-0003,12,23.020713,72.724562
S-000048,Stop 00048,R-0003,13,23.010451,72.728429
S-000049,Stop 00049,R-0003,14,23.00493,72.732575
S-000050,Stop 00050,R-0003,15,22.999289,72.728194
S-000051,Stop 00051,R-0003,16,22.98868,72.735564
S-000052,Stop 00052,R-0003,17,22.975795,72.729408
S-000053,Stop 00053,R-0003,18,22.976075,72.733384
S-000054,Stop 00054,R-0003,19,22.964961,72.736378
S-000055,Stop 00055,R-0004,1,23.111233,72.640588
S-000056,Stop 00056,R-0004,2,23.093362,72.661166
S-000057,Stop 00057,R-0004,3,23.080582,72.681265
S-000058,Stop 00058,R-0004,4,23.064023,72.704901
S-000059,Stop 00059,R-0004,5,23.047739,72.721974
S-000060,Stop 00060,R-0004,6,23.0378,72.748265
S-000061,Stop 00061,R-0004,7,23.019513,72.771327
S-000062,Stop 00062,R-0004,8,23.003461,72.790748
S-000063,Stop 00063,R-0004,9,22.990506,72.820544
S-000064,Stop 00064,R-0004,10,22.974099,72.84218
S-000065,Stop 00065,R-0004,11,22.961356,72.856676
S-000066,Stop 00066,R-0004,12,22.950172,72.882405
S-000067,Stop 00067,R-0005,1,23.159221,72.744595
S-000068,Stop 00068,R-0005,2,23.158347,72.748756
S-000069,Stop 00069,R-0005,3,23.154773,72.748386
S-000070,Stop 00070,R-0005,4,23.153018,72.746594
S-000071,Stop 00071,R-0005,5,23.149941,72.747666
S-000072,Stop 00072,R-0005,6,23.15346,72.755493
S-000073,Stop 00073,R-0005,7,23.147529,72.754506
S-000074,Stop 00074,R-0005,8,23.147454,72.763142
S-000075,Stop 00075,R-0005,9,23.152555,72.758059
S-000076,Stop 00076,R-0005,10,23.148998,72.7617
S-000077,Stop 00077,R-0005,11,23.149204,72.765165
S-000078,Stop 00078,R-0005,12,23.152735,72.764189
S-000079,Stop 00079,R-0005,13,23.15117,72.765949
S-000080,Stop 00080,R-0005,14,23.145733,72.774861
S-000081,Stop 00081,R-0005,15,23.145961,72.7742
S-000082,Stop 00082,R-0005,16,23.144692,72.778241
S-000083,Stop 00083,R-0005,17,23.141275,72.778063
S-000084,Stop 00084,R-0005,18,23.140186,72.781951
S-000085,Stop 00085,R-0005,19,23.144042,72.780976
S-000086,Stop 00086,R-0005,20,23.146582,72.787606
S-000087,Stop 00087,R-0005,21,23.143593,72.792171
S-000088,Stop 00088,R-0005,22,23.138428,72.791922
S-000089,Stop 00089,R-0006,1,23.068926,72.831943
S-000090,Stop 00090,R-0006,2,23.066146,72.829997
S-000091,Stop 00091,R-0006,3,23.074945,72.832247
S-000092,Stop 00092,R-0006,4,23.077566,72.836796
S-000093,Stop 00093,R-0006,5,23.073424,72.834011
S-000094,Stop 00094,R-0006,6,23.07504,72.844401
S-000095,Stop 00095,R-0006,7,23.078315,72.842703
S-000096,Stop 00096,R-0006,8,23.084207,72.839002
S-000097,Stop 00097,R-0006,9,23.086966,72.845601
S-000098,Stop 00098,R-0007,1,22.965081,72.617
S-000099,Stop 00099,R-0007,2,22.96835,72.612073
S-000100,Stop 00100,R-0007,3,22.96453,72.607051
S-000101,Stop 00101,R-0007,4,22.959889,72.605393
S-000102,Stop 00102,R-0007,5,22.956698,72.610233
S-000103,Stop 00103,R-0007,6,22.94582,72.602573
S-000104,Stop 00104,R-0007,7,22.944855,72.604588
S-000105,Stop 00105,R-0007,8,22.935398,72.605238
S-000106,Stop 00106,R-0007,9,22.936511,72.600709
S-000107,Stop 00107,R-0007,10,22.930037,72.594681
S-000108,Stop 00108,R-0007,11,22.931051,72.594235
S-000109,Stop 00109,R-0007,12,22.923473,72.595002
S-000110,Stop 00110,R-0008,1,23.008846,72.647915
S-000111,Stop 00111,R-0008,2,23.002607,72.645699
S-000112,Stop 00112,R-0008,3,22.999809,72.643375
S-000113,Stop 00113,R-0008,4,23.000142,72.64136
S-000114,Stop 00114,R-0008,5,22.998671,72.630619
S-000115,Stop 00115,R-0008,6,22.98874,72.631488
S-000116,Stop 00116,R-0008,7,22.984342,72.627096
S-000117,Stop 00117,R-0008,8,22.979943,72.621471
S-000118,Stop 00118,R-0008,9,22.974353,72.618453
S-000119,Stop 00119,R-0008,10,22.973343,72.618265
S-000120,Stop 00120,R-0008,11,22.968101,72.617324
S-000121,Stop 00121,R-0008,12,22.963332,72.608505
S-000122,Stop 00122,R-0008,13,22.963629,72.604918
S-000123,Stop 00123,R-0009,1,22.951325,72.791798
S-000124,Stop 00124,R-0009,2,22.951136,72.778081
S-000125,Stop 00125,R-0009,3,22.946187,72.772792
S-000126,Stop 00126,R-0009,4,22.950816,72.761351
S-000127,Stop 00127,R-0009,5,22.94772,72.743557
S-000128,Stop 00128,R-0009,6,22.94588,72.733321
S-000129,Stop 00129,R-0009,7,22.954005,72.723259
S-000130,Stop 00130,R-0009,8,22.949694,72.710428
S-000131,Stop 00131,R-0009,9,22.953266,72.697714
S-000132,Stop 00132,R-0009,10,22.953426,72.689024
S-000133,Stop 00133,R-0009,11,22.952046,72.673753
S-000134,Stop 00134,R-0009,12,22.94822,72.664141
S-000135,Stop 00135,R-0009,13,22.945968,72.652314
S-000136,Stop 00136,R-0010,1,23.104247,72.836645
S-000137,Stop 00137,R-0010,2,23.108929,72.813114
S-000138,Stop 00138,R-0010,3,23.112709,72.783691
S-000139,Stop 00139,R-0010,4,23.110809,72.751267
S-000140,Stop 00140,R-0010,5,23.116301,72.732888
S-000141,Stop 00141,R-0010,6,23.121193,72.699396
S-000142,Stop 00142,R-0010,7,23.120104,72.674484
S-000143,Stop 00143,R-0010,8,23.125721,72.641582
S-000144,Stop 00144,R-0010,9,23.125143,72.621035
S-000145,Stop 00145,R-0010,10,23.13584,72.591812
S-000146,Stop 00146,R-0011,1,22.964358,72.877319
S-000147,Stop 00147,R-0011,2,22.979721,72.85545
S-000148,Stop 00148,R-0011,3,22.996214,72.836381
S-000149,Stop 00149,R-0011,4,23.020129,72.806622
S-000150,Stop 00150,R-0011,5,23.034246,72.789068
S-000151,Stop 00151,R-0011,6,23.054352,72.765027
S-000152,Stop 00152,R-0011,7,23.070174,72.743253
S-000153,Stop 00153,R-0011,8,23.089006,72.718988
S-000154,Stop 00154,R-0011,9,23.113269,72.695242
S-000155,Stop 00155,R-0011,10,23.129584,72.673814
S-000156,Stop 00156,R-0011,11,23.146644,72.643982
S-000157,Stop 00157,R-0011,12,23.162656,72.630542
S-000158,Stop 00158,R-0012,1,23.03987,72.606787
S-000159,Stop 00159,R-0012,2,23.029813,72.615713
S-000160,Stop 00160,R-0012,3,23.029758,72.626306
S-000161,Stop 00161,R-0012,4,23.020491,72.633172
S-000162,Stop 00162,R-0012,5,23.014781,72.644318
S-000163,Stop 00163,R-0012,6,23.011016,72.643497
S-000164,Stop 00164,R-0012,7,23.008507,72.653293
S-000165,Stop 00165,R-0012,8,23.007727,72.664353
S-000166,Stop 00166,R-0012,9,23.004024,72.677926
S-000167,Stop 00167,R-0012,10,23.000455,72.68455
S-000168,Stop 00168,R-0012,11,22.987802,72.687044
S-000169,Stop 00169,R-0012,12,22.984705,72.697384
S-000170,Stop 00170,R-0012,13,22.984706,72.70786
S-000171,Stop 00171,R-0012,14,22.976673,72.712808
S-000172,Stop 00172,R-0012,15,22.978109,72.72297
S-000173,Stop 00173,R-0013,1,23.021579,72.591405
S-000174,Stop 00174,R-0013,2,23.031596,72.597214
S-000175,Stop 00175,R-0013,3,23.037402,72.600468
S-000176,Stop 00176,R-0013,4,23.0543,72.604865
S-000177,Stop 00177,R-0013,5,23.057681,72.617939
S-000178,Stop 00178,R-0013,6,23.074487,72.622685
S-000179,Stop 00179,R-0013,7,23.081683,72.628325
S-000180,Stop 00180,R-0013,8,23.089493,72.632669
S-000181,Stop 00181,R-0013,9,23.100176,72.643665
S-000182,Stop 00182,R-0013,10,23.111757,72.643647
S-000183,Stop 00183,R-0013,11,23.120244,72.65265
S-000184,Stop 00184,R-0013,12,23.133436,72.657613
S-000185,Stop 00185,R-0013,13,23.137899,72.667847
S-000186,Stop 00186,R-0013,14,23.145881,72.666986
S-000187,Stop 00187,R-0013,15,23.163938,72.673805
S-000188,Stop 00188,R-0013,16,23.173594,72.686024
S-000189,Stop 00189,R-0013,17,23.181796,72.688053
S-000190,Stop 00190,R-0013,18,23.192572,72.695073
S-000191,Stop 00191,R-0013,19,23.199881,72.701527
S-000192,Stop 00192,R-0014,1,23.089391,72.8177
S-000193,Stop 00193,R-0014,2,23.0795,72.789388
S-000194,Stop 00194,R-0014,3,23.076227,72.759927
S-000195,Stop 00195,R-0014,4,23.065283,72.728539
S-000196,Stop 00196,R-0014,5,23.065773,72.696269
S-000197,Stop 00197,R-0014,6,23.060149,72.666173
S-000198,Stop 00198,R-0014,7,23.051786,72.64627
S-000199,Stop 00199,R-0014,8,23.044193,72.617188
S-000200,Stop 00200,R-0014,9,23.042749,72.58347
S-000201,Stop 00201,R-0014,10,23.029801,72.559192
S-000202,Stop 00202,R-0014,11,23.02486,72.52687
S-000203,Stop 00203,R-0015,1,23.192847,72.841634
S-000204,Stop 00204,R-0015,2,23.161724,72.841591
S-000205,Stop 00205,R-0015,3,23.122724,72.836077
S-000206,Stop 00206,R-0015,4,23.094543,72.829014
S-000207,Stop 00207,R-0015,5,23.067717,72.814776
S-000208,Stop 00208,R-0015,6,23.034753,72.816068
S-000209,Stop 00209,R-0015,7,22.996267,72.809453
S-000210,Stop 00210,R-0015,8,22.97114,72.798633
S-000211,Stop 00211,R-0015,9,22.930805,72.792498
S-000212,Stop 00212,R-0015,10,22.904472,72.792574
S-000213,Stop 00213,R-0016,1,23.090135,72.549512
S-000214,Stop 00214,R-0016,2,23.089083,72.552611
S-000215,Stop 00215,R-0016,3,23.089397,72.564234
S-000216,Stop 00216,R-0016,4,23.081053,72.565702
S-000217,Stop 00217,R-0016,5,23.07386,72.57345
S-000218,Stop 00218,R-0016,6,23.073684,72.582449
S-000219,Stop 00219,R-0016,7,23.067318,72.595294
S-000220,Stop 00220,R-0016,8,23.069725,72.601656
S-000221,Stop 00221,R-0016,9,23.065752,72.605784
S-000222,Stop 00222,R-0016,10,23.063102,72.621051
S-000223,Stop 00223,R-0016,11,23.059171,72.625284
S-000224,Stop 00224,R-0016,12,23.04813,72.634875
S-000225,Stop 00225,R-0016,13,23.045472,72.63764
S-000226,Stop 00226,R-0016,14,23.043221,72.646765
S-000227,Stop 00227,R-0016,15,23.038954,72.654691
S-000228,Stop 00228,R-0016,16,23.040245,72.669927
S-000229,Stop 00229,R-0016,17,23.032088,72.675667
S-000230,Stop 00230,R-0016,18,23.025544,72.683026
S-000231,Stop 00231,R-0017,1,23.045797,72.567643
S-000232,Stop 00232,R-0017,2,23.057073,72.590283
S-000233,Stop 00233,R-0017,3,23.06786,72.614947
S-000234,Stop 00234,R-0017,4,23.0787,72.628873
S-000235,Stop 00235,R-0017,5,23.081668,72.654693
S-000236,Stop 00236,R-0017,6,23.092274,72.671445
S-000237,Stop 00237,R-0017,7,23.100344,72.686402
S-000238,Stop 00238,R-0017,8,23.108514,72.712311
S-000239,Stop 00239,R-0017,9,23.121869,72.72876
S-000240,Stop 00240,R-0017,10,23.130133,72.749077
S-000241,Stop 00241,R-0017,11,23.138845,72.770778
S-000242,Stop 00242,R-0017,12,23.144484,72.786379
S-000243,Stop 00243,R-0017,13,23.158677,72.812403
S-000244,Stop 00244,R-0017,14,23.160777,72.827907
S-000245,Stop 00245,R-0017,15,23.175826,72.843988
S-000246,Stop 00246,R-0018,1,22.94147,72.80548
S-000247,Stop 00247,R-0018,2,22.957503,72.806376
S-000248,Stop 00248,R-0018,3,22.965543,72.804575
S-000249,Stop 00249,R-0018,4,22.980844,72.803101
S-000250,Stop 00250,R-0018,5,22.989291,72.808414
S-000251,Stop 00251,R-0018,6,22.999742,72.808331
S-000252,Stop 00252,R-0018,7,23.018516,72.808407
S-000253,Stop 00253,R-0018,8,23.027158,72.809085
S-000254,Stop 00254,R-0018,9,23.034199,72.809785
S-000255,Stop 00255,R-0018,10,23.053287,72.813039
S-000256,Stop 00256,R-0018,11,23.060773,72.814616
S-000257,Stop 00257,R-0019,1,22.906626,72.867092
S-000258,Stop 00258,R-0019,2,22.924117,72.864279
S-000259,Stop 00259,R-0019,3,22.950442,72.869989
S-000260,Stop 00260,R-0019,4,22.961019,72.866983
S-000261,Stop 00261,R-0019,5,22.980475,72.858736
S-000262,Stop 00262,R-0019,6,23.007677,72.859308
S-000263,Stop 00263,R-0019,7,23.029599,72.85511
S-000264,Stop 00264,R-0019,8,23.043848,72.855582
S-000265,Stop 00265,R-0019,9,23.063298,72.851352
S-000266,Stop 00266,R-0019,10,23.08837,72.843414
S-000267,Stop 00267,R-0019,11,23.105958,72.843278
S-000268,Stop 00268,R-0019,12,23.124352,72.840197
S-000269,Stop 00269,R-0019,13,23.142266,72.832449
S-000270,Stop 00270,R-0019,14,23.16399,72.832954
S-000271,Stop 00271,R-0020,1,23.187433,72.536823
S-000272,Stop 00272,R-0020,2,23.178992,72.533421
S-000273,Stop 00273,R-0020,3,23.166521,72.532563
S-000274,Stop 00274,R-0020,4,23.153245,72.530148
S-000275,Stop 00275,R-0020,5,23.14418,72.528933
S-000276,Stop 00276,R-0020,6,23.131581,72.535665
S-000277,Stop 00277,R-0020,7,23.127474,72.526765
S-000278,Stop 00278,R-0020,8,23.116543,72.532122
S-000279,Stop 00279,R-0020,9,23.109426,72.534394
S-000280,Stop 00280,R-0020,10,23.092592,72.525706
S-000281,Stop 00281,R-0020,11,23.086247,72.529028
S-000282,Stop 00282,R-0020,12,23.07715,72.532816
S-000283,Stop 00283,R-0020,13,23.063,72.524067
S-000284,Stop 00284,R-0020,14,23.055064,72.528552
S-000285,Stop 00285,R-0020,15,23.048341,72.530446
S-000286,Stop 00286,R-0021,1,23.042624,72.717814
S-000287,Stop 00287,R-0021,2,23.040009,72.733968
S-000288,Stop 00288,R-0021,3,23.029307,72.744364
S-000289,Stop 00289,R-0021,4,23.02711,72.753324
S-000290,Stop 00290,R-0021,5,23.017669,72.763282
S-000291,Stop 00291,R-0021,6,23.01552,72.775791
S-000292,Stop 00292,R-0021,7,23.006189,72.785923
S-000293,Stop 00293,R-0021,8,23.006936,72.805842
S-000294,Stop 00294,R-0021,9,23.000833,72.815037
S-000295,Stop 00295,R-0021,10,22.990256,72.825465
S-000296,Stop 00296,R-0021,11,22.989973,72.841657
S-000297,Stop 00297,R-0021,12,22.98123,72.851831
S-000298,Stop 00298,R-0022,1,23.120942,72.579543
S-000299,Stop 00299,R-0022,2,23.109598,72.595981
S-000300,Stop 00300,R-0022,3,23.104598,72.615234
S-000301,Stop 00301,R-0022,4,23.094092,72.640082
S-000302,Stop 00302,R-0022,5,23.085902,72.65482
S-000303,Stop 00303,R-0022,6,23.077654,72.672999
S-000304,Stop 00304,R-0022,7,23.073863,72.692854
S-000305,Stop 00305,R-0022,8,23.066202,72.708786
S-000306,Stop 00306,R-0022,9,23.05824,72.72571
S-000307,Stop 00307,R-0022,10,23.052055,72.747312
S-000308,Stop 00308,R-0022,11,23.045533,72.770578
S-000309,Stop 00309,R-0022,12,23.033312,72.784738
S-000310,Stop 00310,R-0022,13,23.031466,72.800044
S-000311,Stop 00311,R-0022,14,23.018764,72.826377
S-000312,Stop 00312,R-0022,15,23.016532,72.843727
S-000313,Stop 00313,R-0022,16,23.005446,72.857784
S-000314,Stop 00314,R-0022,17,23.004966,72.87741
S-000315,Stop 00315,R-0022,18,22.997605,72.895178
S-000316,Stop 00316,R-0023,1,22.940922,72.586052
S-000317,Stop 00317,R-0023,2,22.946306,72.600856
S-000318,Stop 00318,R-0023,3,22.943746,72.613299
S-000319,Stop 00319,R-0023,4,22.948375,72.627594
S-000320,Stop 00320,R-0023,5,22.95686,72.637386
S-000321,Stop 00321,R-0023,6,22.960156,72.646156
S-000322,Stop 00322,R-0023,7,22.964951,72.654623
S-000323,Stop 00323,R-0023,8,22.971496,72.668168
S-000324,Stop 00324,R-0023,9,22.972364,72.684196
S-000325,Stop 00325,R-0023,10,22.981082,72.693968
S-000326,Stop 00326,R-0023,11,22.99054,72.700466
S-000327,Stop 00327,R-0023,12,22.990546,72.713572
S-000328,Stop 00328,R-0023,13,22.993629,72.720594
S-000329,Stop 00329,R-0023,14,22.999034,72.739671
S-000330,Stop 00330,R-0024,1,23.087283,72.588539
S-000331,Stop 00331,R-0024,2,23.090746,72.604889
S-000332,Stop 00332,R-0024,3,23.095018,72.617311
S-000333,Stop 00333,R-0024,4,23.10611,72.627794
S-000334,Stop 00334,R-0024,5,23.108424,72.641919
S-000335,Stop 00335,R-0024,6,23.11214,72.657042
S-000336,Stop 00336,R-0024,7,23.113628,72.669588
S-000337,Stop 00337,R-0024,8,23.116656,72.676274
S-000338,Stop 00338,R-0024,9,23.122714,72.689328
S-000339,Stop 00339,R-0024,10,23.130257,72.710005
S-000340,Stop 00340,R-0024,11,23.135051,72.717955
S-000341,Stop 00341,R-0024,12,23.137984,72.726073
S-000342,Stop 00342,R-0024,13,23.141888,72.738428
S-000343,Stop 00343,R-0024,14,23.137887,72.751932
S-000344,Stop 00344,R-0024,15,23.148245,72.763851
S-000345,Stop 00345,R-0024,16,23.147563,72.777972
S-000346,Stop 00346,R-0024,17,23.154727,72.789003
S-000347,Stop 00347,R-0024,18,23.160659,72.810351
S-000348,Stop 00348,R-0024,19,23.167524,72.820219
S-000349,Stop 00349,R-0024,20,23.162669,72.831562
S-000350,Stop 00350,R-0024,21,23.170739,72.839021
S-000351,Stop 00351,R-0025,1,22.964628,72.550792
S-000352,Stop 00352,R-0025,2,22.978719,72.566603
S-000353,Stop 00353,R-0025,3,22.992428,72.580721
S-000354,Stop 00354,R-0025,4,23.00434,72.592204
S-000355,Stop 00355,R-0025,5,23.022217,72.597133
S-000356,Stop 00356,R-0025,6,23.037596,72.608947
S-000357,Stop 00357,R-0025,7,23.049369,72.626071
S-000358,Stop 00358,R-0025,8,23.06104,72.639414
S-000359,Stop 00359,R-0025,9,23.079265,72.643953
S-000360,Stop 00360,R-0025,10,23.096073,72.65622
S-000361,Stop 00361,R-0025,11,23.111807,72.665726
S-000362,Stop 00362,R-0025,12,23.127869,72.683118
S-000363,Stop 00363,R-0025,13,23.132694,72.692371
S-000364,Stop 00364,R-0025,14,23.150575,72.704778
S-000365,Stop 00365,R-0025,15,23.167596,72.718746
S-000366,Stop 00366,R-0025,16,23.176481,72.73187
S-000367,Stop 00367,R-0026,1,22.957782,72.542352
S-000368,Stop 00368,R-0026,2,22.957323,72.546739
S-000369,Stop 00369,R-0026,3,22.961042,72.551258
S-000370,Stop 00370,R-0026,4,22.973544,72.565705
S-000371,Stop 00371,R-0026,5,22.973864,72.564981
S-000372,Stop 00372,R-0026,6,22.974099,72.581457
S-000373,Stop 00373,R-0026,7,22.986596,72.585522
S-000374,Stop 00374,R-0026,8,22.982178,72.59686
S-000375,Stop 00375,R-0026,9,22.989241,72.604873
S-000376,Stop 00376,R-0026,10,22.996213,72.610467
S-000377,Stop 00377,R-0026,11,23.001716,72.614613
S-000378,Stop 00378,R-0026,12,22.999605,72.619941
S-000379,Stop 00379,R-0026,13,23.005487,72.634348
S-000380,Stop 00380,R-0026,14,23.01122,72.642653
S-000381,Stop 00381,R-0026,15,23.014893,72.64893
S-000382,Stop 00382,R-0026,16,23.017221,72.658944
S-000383,Stop 00383,R-0026,17,23.02731,72.661753
S-000384,Stop 00384,R-0026,18,23.034058,72.664968
S-000385,Stop 00385,R-0027,1,23.192571,72.535127
S-000386,Stop 00386,R-0027,2,23.187578,72.545323
S-000387,Stop 00387,R-0027,3,23.17876,72.553692
S-000388,Stop 00388,R-0027,4,23.167344,72.555161
S-000389,Stop 00389,R-0027,5,23.163193,72.558143
S-000390,Stop 00390,R-0027,6,23.148915,72.563986
S-000391,Stop 00391,R-0027,7,23.141665,72.565131
S-000392,Stop 00392,R-0027,8,23.135046,72.571892
S-000393,Stop 00393,R-0027,9,23.128186,72.575862
S-000394,Stop 00394,R-0027,10,23.114206,72.578461
S-000395,Stop 00395,R-0027,11,23.105698,72.586344
S-000396,Stop 00396,R-0027,12,23.102134,72.588904
S-000397,Stop 00397,R-0027,13,23.089468,72.595786
S-000398,Stop 00398,R-0027,14,23.077764,72.606427
S-000399,Stop 00399,R-0027,15,23.072573,72.609428
S-000400,Stop 00400,R-0027,16,23.060424,72.607505
S-000401,Stop 00401,R-0027,17,23.054989,72.61702
S-000402,Stop 00402,R-0027,18,23.04708,72.617301
S-000403,Stop 00403,R-0027,19,23.034129,72.626628
S-000404,Stop 00404,R-0027,20,23.030478,72.633748
S-000405,Stop 00405,R-0027,21,23.024423,72.630844
S-000406,Stop 00406,R-0028,1,23.033462,72.6646
S-000407,Stop 00407,R-0028,2,23.036044,72.669364
S-000408,Stop 00408,R-0028,3,23.034264,72.66259
S-000409,Stop 00409,R-0028,4,23.023627,72.657236
S-000410,Stop 00410,R-0028,5,23.020768,72.652998
S-000411,Stop 00411,R-0028,6,23.02176,72.647178
S-000412,Stop 00412,R-0028,7,23.018625,72.647315
S-000413,Stop 00413,R-0028,8,23.016569,72.640432
S-000414,Stop 00414,R-0028,9,23.011693,72.638687
S-000415,Stop 00415,R-0028,10,23.012875,72.638718
S-000416,Stop 00416,R-0028,11,23.006029,72.630408
S-000417,Stop 00417,R-0028,12,23.00457,72.635385
S-000418,Stop 00418,R-0028,13,23.002294,72.628657
S-000419,Stop 00419,R-0028,14,23.004462,72.622309
S-000420,Stop 00420,R-0028,15,22.997217,72.623727
S-000421,Stop 00421,R-0028,16,22.999914,72.621873
S-000422,Stop 00422,R-0028,17,22.990129,72.611896
S-000423,Stop 00423,R-0028,18,22.99569,72.607256
S-000424,Stop 00424,R-0028,19,22.986808,72.611452
S-000425,Stop 00425,R-0028,20,22.990802,72.601279
S-000426,Stop 00426,R-0028,21,22.985514,72.599833
S-000427,Stop 00427,R-0029,1,23.063357,72.518038
S-000428,Stop 00428,R-0029,2,23.077577,72.541326
S-000429,Stop 00429,R-0029,3,23.08866,72.562115
S-000430,Stop 00430,R-0029,4,23.098932,72.584358
S-000431,Stop 00431,R-0029,5,23.106256,72.605269
S-000432,Stop 00432,R-0029,6,23.115473,72.63687
S-000433,Stop 00433,R-0029,7,23.119917,72.657859
S-000434,Stop 00434,R-0029,8,23.135754,72.673015
S-000435,Stop 00435,R-0029,9,23.14554,72.702715
S-000436,Stop 00436,R-0029,10,23.153412,72.718597
S-000437,Stop 00437,R-0029,11,23.159331,72.742173
S-000438,Stop 00438,R-0029,12,23.167465,72.766319
S-000439,Stop 00439,R-0029,13,23.179314,72.789019
S-000440,Stop 00440,R-0029,14,23.191144,72.812792
S-000441,Stop 00441,R-0029,15,23.200129,72.838646
S-000442,Stop 00442,R-0030,1,22.950329,72.697163
S-000443,Stop 00443,R-0030,2,22.9492,72.696519
S-000444,Stop 00444,R-0030,3,22.951685,72.692254
S-000445,Stop 00445,R-0030,4,22.947877,72.69187
S-000446,Stop 00446,R-0030,5,22.954315,72.686038
S-000447,Stop 00447,R-0030,6,22.954921,72.681239
S-000448,Stop 00448,R-0030,7,22.958998,72.685879
S-000449,Stop 00449,R-0030,8,22.95387,72.684939
S-000450,Stop 00450,R-0030,9,22.960243,72.680025
S-000451,Stop 00451,R-0030,10,22.951402,72.676615
S-000452,Stop 00452,R-0030,11,22.957115,72.677524
S-000453,Stop 00453,R-0030,12,22.958525,72.676396
S-000454,Stop 00454,R-0030,13,22.957889,72.672863
S-000455,Stop 00455,R-0030,14,22.961867,72.673146
S-000456,Stop 00456,R-0030,15,22.959859,72.669018
S-000457,Stop 00457,R-0030,16,22.955812,72.664921
S-000458,Stop 00458,R-0030,17,22.960438,72.671801
S-000459,Stop 00459,R-0030,18,22.95815,72.669899
S-000460,Stop 00460,R-0030,19,22.959118,72.661919
S-000461,Stop 00461,R-0030,20,22.962966,72.659177
S-000462,Stop 00462,R-0030,21,22.963953,72.660178
S-000463,Stop 00463,R-0031,1,22.981781,72.813152
S-000464,Stop 00464,R-0031,2,22.977944,72.802197
S-000465,Stop 00465,R-0031,3,22.987092,72.795099
S-000466,Stop 00466,R-0031,4,22.986126,72.789089
S-000467,Stop 00467,R-0031,5,22.993408,72.790418
S-000468,Stop 00468,R-0031,6,22.995524,72.779401
S-000469,Stop 00469,R-0031,7,22.996349,72.770674
S-000470,Stop 00470,R-0031,8,22.997805,72.765107
S-000471,Stop 00471,R-0031,9,23.004231,72.759907
S-000472,Stop 00472,R-0031,10,23.000829,72.753305
S-000473,Stop 00473,R-0031,11,23.005632,72.747228
S-000474,Stop 00474,R-0031,12,23.013219,72.737473
S-000475,Stop 00475,R-0031,13,23.011395,72.726144
S-000476,Stop 00476,R-0031,14,23.011959,72.722005
S-000477,Stop 00477,R-0031,15,23.01956,72.720305
S-000478,Stop 00478,R-0031,16,23.021007,72.713462
S-000479,Stop 00479,R-0031,17,23.023314,72.702248
S-000480,Stop 00480,R-0031,18,23.022628,72.692852
S-000481,Stop 00481,R-0031,19,23.030075,72.68973
