route_id,route_name,start_lat,start_lon,end_lat,end_lon,total_distance_km,estimated_travel_time_min,avg_speed_kmph
R-0065,Route 065,23.149171,72.719149,23.169162,72.797462,12.93,31,24.94
R-0066,Route 066,23.091298,72.806325,23.05639,72.750699,9.58,22,25.71
R-0067,Route 067,22.981515,72.627884,23.062046,72.55535,17.47,31,34.13
R-0068,Route 068,22.919269,72.66304,23.062783,72.66631,21.26,33,38.1
R-0069,Route 069,23.075224,72.778209,23.15702,72.806238,13.03,29,27.04
R-0070,Route 070,23.126043,72.841379,23.186029,72.667609,30.91,58,32.07
R-0071,Route 071,22.966162,72.587769,23.030751,72.51161,16.81,36,28.09
R-0072,Route 072,22.949513,72.686956,22.938288,72.748903,9.46,18,31.29
R-0073,Route 073,22.908131,72.7571,22.94071,72.684679,11.41,28,24.23
R-0074,Route 074,22.998054,72.804492,23.013738,72.800804,4.7,13,21.64
R-0075,Route 075,22.905815,72.715768,23.199972,72.639984,51.44,93,33.04
R-0076,Route 076,23.12627,72.879845,22.959808,72.508152,49.46,89,33.39
R-0077,Route 077,23.069191,72.587186,23.109839,72.806759,29.6,51,34.96
R-0078,Route 078,22.93436,72.82772,23.189416,72.543239,45.49,81,33.55
R-0079,Route 079,23.187452,72.658662,23.114504,72.530399,25.56,70,22.04
R-0080,Route 080,23.131744,72.840117,23.080123,72.548422,52.47,117,26.94
R-0081,Route 081,23.028513,72.648228,23.051788,72.636492,8.62,23,22.11
R-0082,Route 082,23.188236,72.754234,23.148612,72.782923,10.76,16,39.31
R-0083,Route 083,22.981025,72.82328,23.061452,72.693399,24.58,58,25.37
R-0084,Route 084,23.155514,72.832292,22.925999,72.852652,33.18,62,32.21
R-0085,Route 085,23.013697,72.51148,23.155286,72.572736,23.96,54,26.81
R-0086,Route 086,23.164096,72.780474,22.982881,72.50406,55.91,98,34.4
R-0087,Route 087,23.046573,72.803266,23.107183,72.758361,14.94,41,21.86
R-0088,Route 088,22.966479,72.776715,22.991862,72.732622,10.1,21,28.51
R-0089,Route 089,23.123781,72.632317,23.110856,72.608367,4.86,12,23.85
R-0090,Route 090,22.935866,72.714346,23.128657,72.57406,33.1,58,34.49
R-0091,Route 091,23.192982,72.709855,22.9849,72.54021,35.37,90,23.59
R-0092,Route 092,22.904245,72.713654,22.982293,72.889718,30.89,82,22.53
R-0093,Route 093,23.160538,72.696351,23.161816,72.729626,7.22,18,23.69
R-0094,Route 094,22.915413,72.876425,23.043319,72.828846,20.39,38,32.59
R-0095,Route 095,22.916083,72.559679,23.068852,72.621534,30.42,52,35.29
R-0096,Route 096,23.081895,72.816296,22.967706,72.709029,24.55,40,37.2
R-0097,Route 097,23.197009,72.622152,23.086308,72.743852,30.29,75,24.16
R-0098,Route 098,22.963308,72.764171,22.947117,72.569525,22.85,47,29.01
R-0099,Route 099,23.078143,72.616504,22.969443,72.782782,32.8,58,33.75
R-0100,Route 100,23.177173,72.815131,23.087517,72.764473,20.27,39,30.89
R-0101,Route 101,23.09429,72.863365,23.147989,72.528564,41.89,72,34.98
R-0102,Route 102,23.070762,72.615444,22.937306,72.775471,36.48,73,30.01
R-0103,Route 103,23.048139,72.532177,22.911958,72.672811,27.64,76,21.83
R-0104,Route 104,23.188573,72.834383,23.07256,72.880315,25.65,61,25.39
R-0105,Route 105,22.91207,72.802508,23.04115,72.760604,25.0,47,31.71
R-0106,Route 106,23.090435,72.69669,22.927373,72.639184,27.19,44,37.15
R-0107,Route 107,22.998941,72.777469,22.986465,72.878077,18.76,39,29.1
R-0108,Route 108,22.994355,72.62931,23.191055,72.66167,34.44,62,33.15
R-0109,Route 109,23.062778,72.665299,22.956275,72.644712,21.14,36,35.2
R-0110,Route 110,22.961067,72.719688,23.178302,72.675246,36.73,56,39.46
R-0111,Route 111,23.082662,72.595719,22.947513,72.720336,28.06,42,39.85
R-0112,Route 112,23.173879,72.684579,22.93524,72.832857,44.34,88,30.18
R-0113,Route 113,22.982027,72.83389,23.194073,72.597492,48.24,75,38.44
R-0114,Route 114,23.052472,72.851731,23.159208,72.610499,43.3,67,38.68
R-0115,Route 115,23.052321,72.82822,22.984852,72.619422,36.09,73,29.79
R-0116,Route 116,22.944579,72.715432,23.003537,72.720767,11.7,27,26.44
R-0117,Route 117,22.956596,72.778999,23.071539,72.593425,34.98,60,34.89
R-0118,Route 118,23.111568,72.824564,23.015824,72.765476,23.3,47,29.91
R-0119,Route 119,22.911106,72.700916,23.077054,72.84788,39.21,77,30.52
R-0120,Route 120,23.037078,72.788978,23.022994,72.761913,6.49,10,39.38
R-0121,Route 121,23.001568,72.777082,23.094951,72.840706,23.05,50,27.6
R-0122,Route 122,22.994998,72.787487,23.127821,72.848953,18.45,34,32.62
R-0123,Route 123,23.176279,72.89897,23.12403,72.673589,29.77,48,37.45
R-0124,Route 124,23.033104,72.7776,23.171027,72.518396,47.74,104,27.5
R-0125,Route 125,22.943671,72.712467,23.069778,72.817008,21.49,34,37.42
R-0126,Route 126,23.085913,72.596332,23.173849,72.557247,15.79,38,25.11
R-0127,Route 127,22.902819,72.821853,23.170363,72.771044,37.1,83,26.91
R-0128,Route 128,23.076272,72.755575,23.027293,72.600039,27.28,59,27.69
R-0129,Route 129,23.044962,72.594882,23.071577,72.729925,24.73,38,39.56
R-0130,Route 130,23.097469,72.609792,23.069779,72.77432,26.17,49,32.13
R-0131,Route 131,23.049018,72.861662,22.985858,72.819544,13.81,25,32.73
R-0132,Route 132,23.086267,72.771106,23.116279,72.763673,8.68,14,38.07
R-0133,Route 133,23.093902,72.623573,23.032247,72.73183,20.28,47,25.9
R-0134,Route 134,23.124244,72.570256,22.939648,72.715763,43.3,68,38.27
R-0135,Route 135,23.149142,72.602788,23.147407,72.692739,17.73,40,26.77
R-0136,Route 136,22.934551,72.885157,22.942227,72.8866,5.22,8,39.6
R-0137,Route 137,23.190181,72.821835,23.009733,72.816273,24.38,50,29.1
R-0138,Route 138,23.101849,72.768936,23.075368,72.828967,12.11,29,24.68
R-0139,Route 139,22.907507,72.853694,23.068422,72.866102,22.27,37,36.48
R-0140,Route 140,23.172816,72.620876,23.022489,72.555911,30.47,61,29.85
R-0141,Route 141,22.929158,72.854904,22.940699,72.681458,29.24,45,38.92
R-0142,Route 142,23.025738,72.796908,22.946357,72.665954,20.68,44,28.16
R-0143,Route 143,23.185456,72.513087,23.011159,72.677353,44.76,122,21.99
R-0144,Route 144,23.105704,72.717786,23.193353,72.64347,17.44,47,22.44
R-0145,Route 145,23.15441,72.681887,23.098831,72.756682,14.64,25,35.74
R-0146,Route 146,22.973071,72.55037,23.069373,72.527444,17.95,44,24.32
R-0147,Route 147,23.160909,72.631424,22.944266,72.860212,39.76,104,22.89
R-0148,Route 148,22.938998,72.600262,22.952349,72.764423,19.02,32,35.8
R-0149,Route 149,22.971379,72.629509,22.952274,72.52096,19.6,34,34.91
R-0150,Route 150,23.042874,72.811207,23.053971,72.543622,41.15,118,20.87
R-0151,Route 151,23.134968,72.846792,23.056435,72.683217,31.07,63,29.58
R-0152,Route 152,23.020485,72.774439,23.047081,72.86388,11.81,22,32.17
R-0153,Route 153,22.919705,72.610006,23.089923,72.719343,32.0,63,30.61
R-0154,Route 154,23.036115,72.742171,22.929754,72.780712,22.54,38,35.38
R-0155,Route 155,23.116252,72.586009,23.035466,72.591397,13.94,30,28.32
R-0156,Route 156,22.928526,72.670706,23.099532,72.64972,26.39,74,21.34
R-0157,Route 157,23.149532,72.537292,22.928969,72.795518,57.17,108,31.73
R-0158,Route 158,23.068476,72.631858,22.936669,72.641439,24.8,40,37.36
R-0159,Route 159,23.116318,72.887359,23.080123,72.640658,36.8,67,33.13
R-0160,Route 160,22.967273,72.543287,23.153612,72.647024,37.5,62,36.14
R-0161,Route 161,23.153547,72.889819,23.145528,72.745429,21.86,34,38.58
R-0162,Route 162,23.148838,72.606979,22.954125,72.78108,36.56,109,20.12
R-0163,Route 163,23.160959,72.726528,23.020235,72.55675,33.81,58,34.92
R-0164,Route 164,22.96454,72.667933,23.002269,72.648021,10.86,21,31.35
R-0165,Route 165,22.925487,72.521044,22.947223,72.747135,35.16,63,33.24
R-0166,Route 166,23.045699,72.676818,22.98195,72.801977,19.01,44,25.66
R-0167,Route 167,23.103546,72.694653,23.10014,72.518167,26.28,78,20.15
R-0168,Route 168,22.990426,72.584494,22.94117,72.602208,8.13,14,34.94
R-0169,Route 169,22.952708,72.652083,23.111101,72.700105,31.81,89,21.44
R-0170,Route 170,23.158529,72.516921,22.905622,72.868465,72.9,139,31.47
R-0171,Route 171,23.11285,72.667078,22.934552,72.508343,35.7,66,32.36
R-0172,Route 172,23.149608,72.867908,22.926439,72.837794,32.96,65,30.48
R-0173,Route 173,23.01873,72.62411,23.001854,72.633227,5.44,15,22.28
R-0174,Route 174,23.052986,72.862369,23.004813,72.790952,17.86,43,24.73
R-0175,Route 175,22.943933,72.578909,23.08072,72.804086,40.66,69,35.46
R-0176,Route 176,23.048235,72.801778,23.127963,72.679562,27.14,50,32.71
R-0177,Route 177,23.087357,72.845699,23.088165,72.560383,34.51,79,26.06
R-0178,Route 178,22.982402,72.522469,23.052201,72.624163,18.09,30,36.63
R-0179,Route 179,22.923019,72.8457,23.156588,72.746003,39.93,77,31.09
R-0180,Route 180,23.137545,72.858351,23.03492,72.823926,19.11,39,29.51
R-0181,Route 181,22.945258,72.524749,22.931051,72.859651,46.39,92,30.09
R-0182,Route 182,22.951768,72.599097,23.031327,72.675769,17.45,38,27.46
R-0183,Route 183,22.984868,72.663508,23.00151,72.739154,15.4,43,21.32
R-0184,Route 184,22.928352,72.771352,22.985244,72.789493,13.93,22,37.47
R-0185,Route 185,23.000009,72.733096,22.942429,72.639928,21.97,47,27.84
R-0186,Route 186,23.078512,72.875201,22.992875,72.650672,41.2,74,33.4
R-0187,Route 187,23.148688,72.79551,23.105624,72.710557,16.63,37,27.24
R-0188,Route 188,23.008779,72.572105,22.964258,72.879067,43.81,116,22.75
R-0189,Route 189,22.92315,72.837771,22.930342,72.80835,9.24,27,20.75
R-0190,Route 190,23.001029,72.806523,22.939315,72.650688,24.11,41,35.42
R-0191,Route 191,23.142713,72.566216,23.031302,72.664343,24.62,51,28.88
R-0192,Route 192,22.985478,72.799415,23.034678,72.713604,16.86,34,29.38
R-0193,Route 193,23.150534,72.647136,23.184139,72.893776,35.36,77,27.64
R-0194,Route 194,23.058238,72.886507,23.145067,72.820504,15.27,28,32.82
R-0195,Route 195,23.162235,72.721816,22.930777,72.838357,45.2,77,35.26
R-0196,Route 196,22.981837,72.862122,22.944205,72.674989,32.69,68,29.02
R-0197,Route 197,23.004876,72.510668,22.915977,72.700803,30.73,67,27.5
R-0198,Route 198,22.908456,72.87233,23.151753,72.759984,45.21,105,25.74
R-0199,Route 199,23.148928,72.778429,22.941638,72.782214,30.91,86,21.58
R-0200,Route 200,22.976777,72.833985,23.064641,72.790894,15.81,37,25.76
